"Paikka_Id","Aika","Arvo","Lippu_Id"
437,"1910-01-15T00:00:00",43,41
437,"1910-01-30T00:00:00",46,41
437,"1910-02-15T00:00:00",48,41
437,"1910-02-28T00:00:00",54,41
437,"1910-03-15T00:00:00",60,41
437,"1910-03-30T00:00:00",62,41
437,"1910-04-15T00:00:00",60,41
437,"1910-11-30T00:00:00",22,41
437,"1910-12-15T00:00:00",24,41
437,"1910-12-30T00:00:00",27,41
437,"1911-01-15T00:00:00",33,41
437,"1911-01-30T00:00:00",38,41
437,"1911-02-15T00:00:00",42,41
437,"1911-02-28T00:00:00",47,41
437,"1911-03-15T00:00:00",52,41
437,"1911-03-30T00:00:00",55,41
437,"1911-04-15T00:00:00",55,41
437,"1911-12-15T00:00:00",20,41
437,"1911-12-30T00:00:00",26,41
470,"1912-01-15T00:00:00",6,37
473,"1912-01-15T00:00:00",2,37
437,"1912-01-15T00:00:00",38,41
444,"1912-01-15T00:00:00",48,41
470,"1912-01-15T00:00:00",44,41
473,"1912-01-15T00:00:00",23,41
470,"1912-01-30T00:00:00",18,37
473,"1912-01-30T00:00:00",3,37
437,"1912-01-30T00:00:00",43,41
444,"1912-01-30T00:00:00",64,41
470,"1912-01-30T00:00:00",46,41
473,"1912-01-30T00:00:00",38,41
470,"1912-02-15T00:00:00",25,37
473,"1912-02-15T00:00:00",12,37
437,"1912-02-15T00:00:00",48,41
470,"1912-02-15T00:00:00",42,41
473,"1912-02-15T00:00:00",43,41
450,"1912-02-28T00:00:00",19,37
470,"1912-02-28T00:00:00",40,37
473,"1912-02-28T00:00:00",19,37
437,"1912-02-28T00:00:00",54,41
450,"1912-02-28T00:00:00",52,41
470,"1912-02-28T00:00:00",52,41
473,"1912-02-28T00:00:00",52,41
450,"1912-03-15T00:00:00",6,37
473,"1912-03-15T00:00:00",1,37
437,"1912-03-15T00:00:00",60,41
448,"1912-03-15T00:00:00",67,41
449,"1912-03-15T00:00:00",75,41
450,"1912-03-15T00:00:00",58,41
470,"1912-03-15T00:00:00",49,41
473,"1912-03-15T00:00:00",46,41
450,"1912-03-30T00:00:00",9,37
473,"1912-03-30T00:00:00",0,37
437,"1912-03-30T00:00:00",66,41
448,"1912-03-30T00:00:00",69,41
449,"1912-03-30T00:00:00",75,41
450,"1912-03-30T00:00:00",59,41
470,"1912-03-30T00:00:00",40,41
473,"1912-03-30T00:00:00",56,41
450,"1912-04-15T00:00:00",10,37
437,"1912-04-15T00:00:00",66,41
448,"1912-04-15T00:00:00",72,41
449,"1912-04-15T00:00:00",75,41
450,"1912-04-15T00:00:00",59,41
470,"1912-04-15T00:00:00",30,41
473,"1912-04-15T00:00:00",40,41
450,"1912-04-30T00:00:00",0,37
448,"1912-04-30T00:00:00",44,41
449,"1912-04-30T00:00:00",60,41
450,"1912-04-30T00:00:00",53,41
473,"1912-04-30T00:00:00",20,41
448,"1912-05-15T00:00:00",27,41
448,"1912-11-15T00:00:00",6,41
470,"1912-11-15T00:00:00",20,41
437,"1912-11-30T00:00:00",14,41
470,"1912-11-30T00:00:00",20,41
449,"1912-12-15T00:00:00",20,37
470,"1912-12-15T00:00:00",15,37
437,"1912-12-15T00:00:00",18,41
448,"1912-12-15T00:00:00",15,41
449,"1912-12-15T00:00:00",20,41
470,"1912-12-15T00:00:00",14,41
449,"1912-12-30T00:00:00",22,37
450,"1912-12-30T00:00:00",15,37
473,"1912-12-30T00:00:00",0,37
437,"1912-12-30T00:00:00",21,41
448,"1912-12-30T00:00:00",18,41
449,"1912-12-30T00:00:00",27,41
450,"1912-12-30T00:00:00",31,41
473,"1912-12-30T00:00:00",12,41
449,"1913-01-15T00:00:00",0,37
450,"1913-01-15T00:00:00",0,37
473,"1913-01-15T00:00:00",0,37
437,"1913-01-15T00:00:00",32,41
448,"1913-01-15T00:00:00",30,41
449,"1913-01-15T00:00:00",27,41
450,"1913-01-15T00:00:00",36,41
470,"1913-01-15T00:00:00",40,41
473,"1913-01-15T00:00:00",15,41
449,"1913-01-30T00:00:00",15,37
450,"1913-01-30T00:00:00",6,37
473,"1913-01-30T00:00:00",3,37
437,"1913-01-30T00:00:00",38,41
448,"1913-01-30T00:00:00",37,41
449,"1913-01-30T00:00:00",30,41
450,"1913-01-30T00:00:00",45,41
473,"1913-01-30T00:00:00",35,41
449,"1913-02-15T00:00:00",30,37
450,"1913-02-15T00:00:00",20,37
473,"1913-02-15T00:00:00",11,37
437,"1913-02-15T00:00:00",42,41
448,"1913-02-15T00:00:00",42,41
449,"1913-02-15T00:00:00",45,41
450,"1913-02-15T00:00:00",48,41
473,"1913-02-15T00:00:00",44,41
449,"1913-02-28T00:00:00",30,37
450,"1913-02-28T00:00:00",24,37
