"Paikka_Id","Aika","Arvo"
1658,"2017-07-07T00:00:00","13.1"
1660,"2017-07-07T00:00:00","16.6"
1661,"2017-07-07T00:00:00","13.5"
1664,"2017-07-07T00:00:00","14.3"
1667,"2017-07-07T00:00:00","17.5"
1672,"2017-07-07T00:00:00","15.1"
1673,"2017-07-07T00:00:00","15.5"
1674,"2017-07-07T00:00:00","17.0"
1685,"2017-07-07T00:00:00","16.4"
1687,"2017-07-07T00:00:00","14.3"
1694,"2017-07-07T00:00:00","14.6"
1696,"2017-07-07T00:00:00","14.1"
1699,"2017-07-07T00:00:00","15.6"
1700,"2017-07-07T00:00:00","13.7"
1705,"2017-07-07T00:00:00","12.5"
1708,"2017-07-07T00:00:00","5.2"
1709,"2017-07-07T00:00:00","11.5"
1711,"2017-07-07T00:00:00","10.2"
1716,"2017-07-07T00:00:00","11.6"
1717,"2017-07-07T00:00:00","15.1"
1720,"2017-07-07T00:00:00","15.0"
2600,"2017-07-07T00:00:00","14.9"
2601,"2017-07-07T00:00:00","14.6"
2602,"2017-07-07T00:00:00","16.5"
2603,"2017-07-07T00:00:00","15.7"
2604,"2017-07-07T00:00:00","16.5"
2605,"2017-07-07T00:00:00","15.1"
2606,"2017-07-07T00:00:00","15.1"
2607,"2017-07-07T00:00:00","15.3"
2608,"2017-07-07T00:00:00","12.1"
2609,"2017-07-07T00:00:00","13.4"
2648,"2017-07-07T00:00:00","15.6"
3081,"2017-07-07T00:00:00","15.4"
3094,"2017-07-07T00:00:00","15.4"
1658,"2017-07-08T00:00:00","13.8"
1660,"2017-07-08T00:00:00","15.9"
1661,"2017-07-08T00:00:00","13.6"
1664,"2017-07-08T00:00:00","14.6"
1667,"2017-07-08T00:00:00","17.5"
1672,"2017-07-08T00:00:00","15.8"
1673,"2017-07-08T00:00:00","16.5"
1674,"2017-07-08T00:00:00","17.5"
1685,"2017-07-08T00:00:00","17.0"
1687,"2017-07-08T00:00:00","15.5"
1694,"2017-07-08T00:00:00","15.4"
1696,"2017-07-08T00:00:00","15.3"
1699,"2017-07-08T00:00:00","15.5"
1700,"2017-07-08T00:00:00","14.8"
1705,"2017-07-08T00:00:00","15.0"
1708,"2017-07-08T00:00:00","5.3"
1709,"2017-07-08T00:00:00","14.8"
1711,"2017-07-08T00:00:00","10.5"
1716,"2017-07-08T00:00:00","12.9"
1717,"2017-07-08T00:00:00","14.0"
1720,"2017-07-08T00:00:00","17.2"
2600,"2017-07-08T00:00:00","15.3"
2601,"2017-07-08T00:00:00","15.2"
2602,"2017-07-08T00:00:00","17.1"
2603,"2017-07-08T00:00:00","15.1"
2604,"2017-07-08T00:00:00","17.4"
2605,"2017-07-08T00:00:00","15.7"
2606,"2017-07-08T00:00:00","16.2"
2607,"2017-07-08T00:00:00","16.1"
2608,"2017-07-08T00:00:00","11.8"
2609,"2017-07-08T00:00:00","13.3"
2648,"2017-07-08T00:00:00","17.4"
3081,"2017-07-08T00:00:00","16.4"
3094,"2017-07-08T00:00:00","16.4"
1658,"2017-07-09T00:00:00","15.1"
1660,"2017-07-09T00:00:00","15.4"
1661,"2017-07-09T00:00:00","15.3"
1664,"2017-07-09T00:00:00","15.1"
1667,"2017-07-09T00:00:00","18.6"
1672,"2017-07-09T00:00:00","16.5"
1673,"2017-07-09T00:00:00","18.1"
1674,"2017-07-09T00:00:00","18.8"
1685,"2017-07-09T00:00:00","18.0"
1687,"2017-07-09T00:00:00","16.3"
1694,"2017-07-09T00:00:00","17.5"
1696,"2017-07-09T00:00:00","17.7"
1699,"2017-07-09T00:00:00","16.1"
1700,"2017-07-09T00:00:00","15.8"
1705,"2017-07-09T00:00:00","15.8"
1708,"2017-07-09T00:00:00","7.2"
1709,"2017-07-09T00:00:00","15.7"
1711,"2017-07-09T00:00:00","11.3"
1716,"2017-07-09T00:00:00","13.6"
1717,"2017-07-09T00:00:00","13.6"
1720,"2017-07-09T00:00:00","17.3"
2600,"2017-07-09T00:00:00","16.6"
2601,"2017-07-09T00:00:00","16.2"
2602,"2017-07-09T00:00:00","17.5"
2603,"2017-07-09T00:00:00","16.7"
2604,"2017-07-09T00:00:00","18.7"
2605,"2017-07-09T00:00:00","15.1"
2606,"2017-07-09T00:00:00","16.6"
2607,"2017-07-09T00:00:00","15.1"
2608,"2017-07-09T00:00:00","12.6"
2609,"2017-07-09T00:00:00","12.7"
2648,"2017-07-09T00:00:00","18.4"
3081,"2017-07-09T00:00:00","17.1"
3094,"2017-07-09T00:00:00","17.7"
1658,"2017-07-10T00:00:00","17.1"
1660,"2017-07-10T00:00:00","16.1"
1661,"2017-07-10T00:00:00","17.6"
1664,"2017-07-10T00:00:00","17.1"
1667,"2017-07-10T00:00:00","21.1"
1672,"2017-07-10T00:00:00","18.3"
1673,"2017-07-10T00:00:00","18.5"
1674,"2017-07-10T00:00:00","20.0"
1685,"2017-07-10T00:00:00","19.1"
1687,"2017-07-10T00:00:00","18.3"
1694,"2017-07-10T00:00:00","18.5"
1696,"2017-07-10T00:00:00","19.3"
1699,"2017-07-10T00:00:00","16.8"
1700,"2017-07-10T00:00:00","16.3"
1705,"2017-07-10T00:00:00","16.3"
1708,"2017-07-10T00:00:00","7.4"
1709,"2017-07-10T00:00:00","16.1"
1711,"2017-07-10T00:00:00","12.1"
1716,"2017-07-10T00:00:00","14.5"
1717,"2017-07-10T00:00:00","14.1"
1720,"2017-07-10T00:00:00","19.8"
2600,"2017-07-10T00:00:00","18.9"
2601,"2017-07-10T00:00:00","17.3"
2602,"2017-07-10T00:00:00","18.4"
2603,"2017-07-10T00:00:00","18.4"
2604,"2017-07-10T00:00:00","18.9"
2605,"2017-07-10T00:00:00","18.0"
2606,"2017-07-10T00:00:00","18.2"
2607,"2017-07-10T00:00:00","15.1"
2608,"2017-07-10T00:00:00","13.1"
2609,"2017-07-10T00:00:00","12.6"
2648,"2017-07-10T00:00:00","19.1"
3081,"2017-07-10T00:00:00","18.8"
3094,"2017-07-10T00:00:00","18.6"
1658,"2017-07-11T00:00:00","18.3"
1660,"2017-07-11T00:00:00","17.1"
1661,"2017-07-11T00:00:00","17.3"
1664,"2017-07-11T00:00:00","17.5"
1667,"2017-07-11T00:00:00","19.5"
1672,"2017-07-11T00:00:00","16.2"
1673,"2017-07-11T00:00:00","17.4"
1674,"2017-07-11T00:00:00","20.4"
1685,"2017-07-11T00:00:00","19.6"
1687,"2017-07-11T00:00:00","18.5"
1694,"2017-07-11T00:00:00","18.7"
1696,"2017-07-11T00:00:00","19.1"
1699,"2017-07-11T00:00:00","17.5"
1700,"2017-07-11T00:00:00","17.5"
1705,"2017-07-11T00:00:00","17.1"
1708,"2017-07-11T00:00:00","7.9"
1709,"2017-07-11T00:00:00","16.3"
1711,"2017-07-11T00:00:00","12.5"
1716,"2017-07-11T00:00:00","15.5"
1717,"2017-07-11T00:00:00","14.8"
1720,"2017-07-11T00:00:00","18.7"
2600,"2017-07-11T00:00:00","17.5"
2601,"2017-07-11T00:00:00","17.1"
