"Paikka_Id","Aika","Arvo","Syvyys"
3253,"1993-12-10T00:00:00","0.18","0.00"
3253,"1993-12-10T00:00:00","0.89","1.00"
3253,"1993-12-10T00:00:00","1.30","2.00"
3253,"1993-12-10T00:00:00","1.64","3.00"
3253,"1993-12-10T00:00:00","1.85","4.00"
3253,"1993-12-10T00:00:00","1.90","5.00"
3253,"1993-12-10T00:00:00","1.98","6.00"
3253,"1993-12-10T00:00:00","2.20","7.00"
3253,"1993-12-10T00:00:00","2.30","8.00"
3253,"1993-12-10T00:00:00","2.36","9.00"
3253,"1993-12-10T00:00:00","2.68","10.00"
3253,"1993-12-10T00:00:00","2.96","11.00"
3253,"1993-12-10T00:00:00","3.42","12.00"
3254,"1993-12-10T00:00:00","0.04","0.00"
3254,"1993-12-10T00:00:00","0.13","1.00"
3254,"1993-12-10T00:00:00","0.14","2.00"
3254,"1993-12-10T00:00:00","0.16","3.00"
3254,"1993-12-10T00:00:00","0.17","4.00"
3254,"1993-12-10T00:00:00","0.20","5.00"
3254,"1993-12-10T00:00:00","0.23","6.00"
3254,"1993-12-10T00:00:00","0.26","7.00"
3254,"1993-12-10T00:00:00","0.28","8.00"
3254,"1993-12-10T00:00:00","0.31","9.00"
3254,"1993-12-10T00:00:00","0.34","10.00"
3254,"1993-12-10T00:00:00","0.36","11.00"
3254,"1993-12-10T00:00:00","0.40","12.00"
3254,"1993-12-10T00:00:00","0.45","13.00"
3254,"1993-12-10T00:00:00","0.50","14.00"
3254,"1993-12-10T00:00:00","0.58","15.00"
3254,"1993-12-10T00:00:00","0.73","16.00"
3254,"1993-12-10T00:00:00","0.79","17.00"
3254,"1993-12-10T00:00:00","0.85","18.00"
3254,"1993-12-10T00:00:00","0.88","19.00"
3254,"1993-12-10T00:00:00","0.91","20.00"
3254,"1993-12-10T00:00:00","0.94","22.00"
3254,"1993-12-10T00:00:00","0.96","24.00"
3254,"1993-12-10T00:00:00","0.98","26.00"
3254,"1993-12-10T00:00:00","1.01","28.00"
3254,"1993-12-10T00:00:00","1.03","30.00"
3254,"1993-12-10T00:00:00","1.08","32.00"
3254,"1993-12-10T00:00:00","1.13","34.00"
3254,"1993-12-10T00:00:00","1.16","36.00"
