"Paikka_Id","Aika","Arvo","Lippu_Id"
523,"2016-11-30T00:00:00",25,41
527,"2016-11-30T00:00:00",0,41
2585,"2016-11-30T00:00:00",15,41
2587,"2016-11-30T00:00:00",27,41
401,"2016-11-30T00:00:00",0,112
412,"2016-11-30T00:00:00",0,112
449,"2016-11-30T00:00:00",3,112
470,"2016-11-30T00:00:00",0,112
495,"2016-11-30T00:00:00",0,112
509,"2016-11-30T00:00:00",0,112
2585,"2016-11-30T00:00:00",2,112
401,"2016-11-30T00:00:00",12,113
412,"2016-11-30T00:00:00",10,113
449,"2016-11-30T00:00:00",7,113
470,"2016-11-30T00:00:00",7,113
495,"2016-11-30T00:00:00",15,113
509,"2016-11-30T00:00:00",21,113
2585,"2016-11-30T00:00:00",13,113
401,"2016-11-30T00:00:00",0,114
412,"2016-11-30T00:00:00",0,114
449,"2016-11-30T00:00:00",0,114
470,"2016-11-30T00:00:00",0,114
495,"2016-11-30T00:00:00",0,114
509,"2016-11-30T00:00:00",0,114
2585,"2016-11-30T00:00:00",0,114
500,"2016-12-01T00:00:00",10,37
540,"2016-12-01T00:00:00",8,37
2586,"2016-12-01T00:00:00",17,37
500,"2016-12-01T00:00:00",12,38
540,"2016-12-01T00:00:00",26,38
2586,"2016-12-01T00:00:00",18,38
540,"2016-12-01T00:00:00",1,39
500,"2016-12-01T00:00:00",12,41
540,"2016-12-01T00:00:00",26,41
2586,"2016-12-01T00:00:00",18,41
2647,"2016-12-01T00:00:00",0,41
500,"2016-12-01T00:00:00",0,112
540,"2016-12-01T00:00:00",0,112
2586,"2016-12-01T00:00:00",0,112
500,"2016-12-01T00:00:00",12,113
540,"2016-12-01T00:00:00",26,113
2586,"2016-12-01T00:00:00",18,113
500,"2016-12-01T00:00:00",0,114
540,"2016-12-01T00:00:00",0,114
2586,"2016-12-01T00:00:00",0,114
487,"2016-12-02T00:00:00",0,41
2584,"2016-12-02T00:00:00",0,41
503,"2016-12-04T00:00:00",7,37
503,"2016-12-04T00:00:00",13,38
503,"2016-12-04T00:00:00",5,39
503,"2016-12-04T00:00:00",14,41
503,"2016-12-04T00:00:00",7,112
503,"2016-12-04T00:00:00",6,113
503,"2016-12-04T00:00:00",2,114
516,"2016-12-07T00:00:00",17,37
516,"2016-12-07T00:00:00",27,38
516,"2016-12-07T00:00:00",27,41
516,"2016-12-07T00:00:00",4,112
516,"2016-12-07T00:00:00",16,113
516,"2016-12-07T00:00:00",6,114
409,"2016-12-09T00:00:00",0,37
409,"2016-12-09T00:00:00",8,38
409,"2016-12-09T00:00:00",8,41
409,"2016-12-09T00:00:00",7,112
409,"2016-12-09T00:00:00",1,113
409,"2016-12-09T00:00:00",0,114
401,"2016-12-10T00:00:00",1,37
405,"2016-12-10T00:00:00",0,37
412,"2016-12-10T00:00:00",8,37
421,"2016-12-10T00:00:00",1,37
432,"2016-12-10T00:00:00",0,37
444,"2016-12-10T00:00:00",0,37
458,"2016-12-10T00:00:00",3,37
469,"2016-12-10T00:00:00",0,37
470,"2016-12-10T00:00:00",0,37
474,"2016-12-10T00:00:00",0,37
491,"2016-12-10T00:00:00",0,37
495,"2016-12-10T00:00:00",1,37
500,"2016-12-10T00:00:00",13,37
506,"2016-12-10T00:00:00",21,37
509,"2016-12-10T00:00:00",17,37
523,"2016-12-10T00:00:00",19,37
527,"2016-12-10T00:00:00",13,37
528,"2016-12-10T00:00:00",7,37
531,"2016-12-10T00:00:00",0,37
540,"2016-12-10T00:00:00",11,37
541,"2016-12-10T00:00:00",0,37
2585,"2016-12-10T00:00:00",17,37
3060,"2016-12-10T00:00:00",1,37
401,"2016-12-10T00:00:00",19,38
405,"2016-12-10T00:00:00",13,38
412,"2016-12-10T00:00:00",10,38
421,"2016-12-10T00:00:00",13,38
432,"2016-12-10T00:00:00",12,38
444,"2016-12-10T00:00:00",18,38
458,"2016-12-10T00:00:00",7,38
469,"2016-12-10T00:00:00",11,38
470,"2016-12-10T00:00:00",15,38
474,"2016-12-10T00:00:00",14,38
491,"2016-12-10T00:00:00",16,38
495,"2016-12-10T00:00:00",22,38
500,"2016-12-10T00:00:00",24,38
506,"2016-12-10T00:00:00",19,38
509,"2016-12-10T00:00:00",24,38
523,"2016-12-10T00:00:00",30,38
527,"2016-12-10T00:00:00",27,38
528,"2016-12-10T00:00:00",30,38
531,"2016-12-10T00:00:00",26,38
540,"2016-12-10T00:00:00",28,38
541,"2016-12-10T00:00:00",13,38
2585,"2016-12-10T00:00:00",18,38
3060,"2016-12-10T00:00:00",13,38
401,"2016-12-10T00:00:00",3,39
421,"2016-12-10T00:00:00",2,39
458,"2016-12-10T00:00:00",0,39
470,"2016-12-10T00:00:00",0,39
474,"2016-12-10T00:00:00",0,39
491,"2016-12-10T00:00:00",0,39
495,"2016-12-10T00:00:00",6,39
506,"2016-12-10T00:00:00",1,39
509,"2016-12-10T00:00:00",0,39
523,"2016-12-10T00:00:00",2,39
527,"2016-12-10T00:00:00",12,39
531,"2016-12-10T00:00:00",17,39
540,"2016-12-10T00:00:00",1,39
2585,"2016-12-10T00:00:00",2,39
3060,"2016-12-10T00:00:00",0,39
401,"2016-12-10T00:00:00",20,41
405,"2016-12-10T00:00:00",14,41
412,"2016-12-10T00:00:00",9,41
421,"2016-12-10T00:00:00",14,41
432,"2016-12-10T00:00:00",12,41
444,"2016-12-10T00:00:00",20,41
457,"2016-12-10T00:00:00",0,41
458,"2016-12-10T00:00:00",7,41
469,"2016-12-10T00:00:00",12,41
470,"2016-12-10T00:00:00",16,41
474,"2016-12-10T00:00:00",15,41
487,"2016-12-10T00:00:00",0,41
491,"2016-12-10T00:00:00",17,41
495,"2016-12-10T00:00:00",24,41
500,"2016-12-10T00:00:00",28,41
506,"2016-12-10T00:00:00",16,41
509,"2016-12-10T00:00:00",23,41
523,"2016-12-10T00:00:00",30,41
527,"2016-12-10T00:00:00",28,41
528,"2016-12-10T00:00:00",30,41
531,"2016-12-10T00:00:00",26,41
540,"2016-12-10T00:00:00",27,41
541,"2016-12-10T00:00:00",14,41
2584,"2016-12-10T00:00:00",13,41
2585,"2016-12-10T00:00:00",17,41
3060,"2016-12-10T00:00:00",13,41
401,"2016-12-10T00:00:00",5,112
405,"2016-12-10T00:00:00",7,112
412,"2016-12-10T00:00:00",1,112
421,"2016-12-10T00:00:00",4,112
432,"2016-12-10T00:00:00",0,112
444,"2016-12-10T00:00:00",7,112
458,"2016-12-10T00:00:00",0,112
469,"2016-12-10T00:00:00",0,112
470,"2016-12-10T00:00:00",0,112
474,"2016-12-10T00:00:00",0,112
491,"2016-12-10T00:00:00",0,112
495,"2016-12-10T00:00:00",6,112
500,"2016-12-10T00:00:00",13,112
506,"2016-12-10T00:00:00",1,112
509,"2016-12-10T00:00:00",0,112
527,"2016-12-10T00:00:00",13,112
528,"2016-12-10T00:00:00",8,112
531,"2016-12-10T00:00:00",9,112
540,"2016-12-10T00:00:00",0,112
541,"2016-12-10T00:00:00",0,112
2585,"2016-12-10T00:00:00",3,112
3060,"2016-12-10T00:00:00",3,112
401,"2016-12-10T00:00:00",13,113
405,"2016-12-10T00:00:00",7,113
421,"2016-12-10T00:00:00",9,113
432,"2016-12-10T00:00:00",12,113
444,"2016-12-10T00:00:00",13,113
458,"2016-12-10T00:00:00",7,113
469,"2016-12-10T00:00:00",12,113
470,"2016-12-10T00:00:00",16,113
474,"2016-12-10T00:00:00",15,113
491,"2016-12-10T00:00:00",17,113
495,"2016-12-10T00:00:00",18,113
506,"2016-12-10T00:00:00",15,113
509,"2016-12-10T00:00:00",23,113
527,"2016-12-10T00:00:00",13,113
528,"2016-12-10T00:00:00",22,113
531,"2016-12-10T00:00:00",12,113
540,"2016-12-10T00:00:00",27,113
541,"2016-12-10T00:00:00",14,113
2585,"2016-12-10T00:00:00",14,113
3060,"2016-12-10T00:00:00",10,113
401,"2016-12-10T00:00:00",2,114
405,"2016-12-10T00:00:00",0,114
421,"2016-12-10T00:00:00",0,114
432,"2016-12-10T00:00:00",0,114
444,"2016-12-10T00:00:00",0,114
458,"2016-12-10T00:00:00",0,114
469,"2016-12-10T00:00:00",0,114
470,"2016-12-10T00:00:00",0,114
474,"2016-12-10T00:00:00",0,114
491,"2016-12-10T00:00:00",0,114
495,"2016-12-10T00:00:00",0,114
506,"2016-12-10T00:00:00",0,114
509,"2016-12-10T00:00:00",0,114
527,"2016-12-10T00:00:00",2,114
528,"2016-12-10T00:00:00",0,114
531,"2016-12-10T00:00:00",5,114
540,"2016-12-10T00:00:00",0,114
541,"2016-12-10T00:00:00",0,114
2585,"2016-12-10T00:00:00",0,114
3060,"2016-12-10T00:00:00",0,114
449,"2016-12-11T00:00:00",1,37
486,"2016-12-11T00:00:00",0,37
503,"2016-12-11T00:00:00",2,37
514,"2016-12-11T00:00:00",9,37
2587,"2016-12-11T00:00:00",10,37
2647,"2016-12-11T00:00:00",0,37
449,"2016-12-11T00:00:00",22,38
486,"2016-12-11T00:00:00",14,38
503,"2016-12-11T00:00:00",22,38
514,"2016-12-11T00:00:00",31,38
2587,"2016-12-11T00:00:00",32,38
2647,"2016-12-11T00:00:00",16,38
449,"2016-12-11T00:00:00",15,39
503,"2016-12-11T00:00:00",15,39
514,"2016-12-11T00:00:00",12,39
2587,"2016-12-11T00:00:00",2,39
449,"2016-12-11T00:00:00",24,41
486,"2016-12-11T00:00:00",15,41
503,"2016-12-11T00:00:00",23,41
514,"2016-12-11T00:00:00",31,41
2587,"2016-12-11T00:00:00",31,41
2647,"2016-12-11T00:00:00",17,41
449,"2016-12-11T00:00:00",13,112
486,"2016-12-11T00:00:00",0,112
503,"2016-12-11T00:00:00",15,112
514,"2016-12-11T00:00:00",11,112
2587,"2016-12-11T00:00:00",0,112
2647,"2016-12-11T00:00:00",0,112
449,"2016-12-11T00:00:00",11,113
486,"2016-12-11T00:00:00",15,113
503,"2016-12-11T00:00:00",8,113
514,"2016-12-11T00:00:00",20,113
2587,"2016-12-11T00:00:00",31,113
2647,"2016-12-11T00:00:00",17,113
449,"2016-12-11T00:00:00",0,114
486,"2016-12-11T00:00:00",0,114
503,"2016-12-11T00:00:00",0,114
514,"2016-12-11T00:00:00",0,114
2587,"2016-12-11T00:00:00",0,114
2647,"2016-12-11T00:00:00",0,114
436,"2016-12-12T00:00:00",3,37
493,"2016-12-12T00:00:00",3,37
2586,"2016-12-12T00:00:00",23,37
436,"2016-12-12T00:00:00",14,38
493,"2016-12-12T00:00:00",20,38
2586,"2016-12-12T00:00:00",23,38
436,"2016-12-12T00:00:00",5,39
2586,"2016-12-12T00:00:00",0,39
402,"2016-12-12T00:00:00",0,41
436,"2016-12-12T00:00:00",14,41
493,"2016-12-12T00:00:00",21,41
2586,"2016-12-12T00:00:00",20,41
436,"2016-12-12T00:00:00",5,112
493,"2016-12-12T00:00:00",6,112
2586,"2016-12-12T00:00:00",0,112
436,"2016-12-12T00:00:00",9,113
493,"2016-12-12T00:00:00",15,113
2586,"2016-12-12T00:00:00",20,113
436,"2016-12-12T00:00:00",0,114
493,"2016-12-12T00:00:00",0,114
2586,"2016-12-12T00:00:00",0,114
487,"2016-12-13T00:00:00",0,37
532,"2016-12-13T00:00:00",0,37
487,"2016-12-13T00:00:00",18,38
532,"2016-12-13T00:00:00",17,38
487,"2016-12-13T00:00:00",0,39
532,"2016-12-13T00:00:00",0,39
473,"2016-12-13T00:00:00",0,41
487,"2016-12-13T00:00:00",19,41
532,"2016-12-13T00:00:00",17,41
487,"2016-12-13T00:00:00",0,112
532,"2016-12-13T00:00:00",0,112
487,"2016-12-13T00:00:00",19,113
532,"2016-12-13T00:00:00",17,113
487,"2016-12-13T00:00:00",0,114
532,"2016-12-13T00:00:00",0,114
409,"2016-12-19T00:00:00",3,37
456,"2016-12-19T00:00:00",1,37
514,"2016-12-19T00:00:00",12,37
528,"2016-12-19T00:00:00",3,37
3060,"2016-12-19T00:00:00",2,37
409,"2016-12-19T00:00:00",19,38
456,"2016-12-19T00:00:00",21,38
514,"2016-12-19T00:00:00",32,38
528,"2016-12-19T00:00:00",34,38
3060,"2016-12-19T00:00:00",17,38
514,"2016-12-19T00:00:00",13,39
3060,"2016-12-19T00:00:00",2,39
409,"2016-12-19T00:00:00",20,41
456,"2016-12-19T00:00:00",22,41
514,"2016-12-19T00:00:00",32,41
528,"2016-12-19T00:00:00",35,41
3060,"2016-12-19T00:00:00",18,41
409,"2016-12-19T00:00:00",4,112
456,"2016-12-19T00:00:00",6,112
514,"2016-12-19T00:00:00",12,112
3060,"2016-12-19T00:00:00",5,112
409,"2016-12-19T00:00:00",16,113
456,"2016-12-19T00:00:00",16,113
514,"2016-12-19T00:00:00",20,113
3060,"2016-12-19T00:00:00",13,113
409,"2016-12-19T00:00:00",0,114
456,"2016-12-19T00:00:00",0,114
514,"2016-12-19T00:00:00",0,114
3060,"2016-12-19T00:00:00",0,114
401,"2016-12-20T00:00:00",3,37
402,"2016-12-20T00:00:00",1,37
405,"2016-12-20T00:00:00",0,37
412,"2016-12-20T00:00:00",6,37
413,"2016-12-20T00:00:00",5,37
421,"2016-12-20T00:00:00",2,37
432,"2016-12-20T00:00:00",0,37
436,"2016-12-20T00:00:00",0,37
437,"2016-12-20T00:00:00",1,37
444,"2016-12-20T00:00:00",0,37
450,"2016-12-20T00:00:00",7,37
457,"2016-12-20T00:00:00",7,37
458,"2016-12-20T00:00:00",5,37
469,"2016-12-20T00:00:00",0,37
470,"2016-12-20T00:00:00",0,37
474,"2016-12-20T00:00:00",0,37
487,"2016-12-20T00:00:00",0,37
491,"2016-12-20T00:00:00",0,37
493,"2016-12-20T00:00:00",1,37
495,"2016-12-20T00:00:00",2,37
500,"2016-12-20T00:00:00",2,37
503,"2016-12-20T00:00:00",4,37
506,"2016-12-20T00:00:00",13,37
509,"2016-12-20T00:00:00",20,37
516,"2016-12-20T00:00:00",11,37
523,"2016-12-20T00:00:00",17,37
531,"2016-12-20T00:00:00",1,37
532,"2016-12-20T00:00:00",0,37
540,"2016-12-20T00:00:00",13,37
541,"2016-12-20T00:00:00",0,37
2584,"2016-12-20T00:00:00",0,37
2585,"2016-12-20T00:00:00",10,37
2586,"2016-12-20T00:00:00",24,37
2587,"2016-12-20T00:00:00",6,37
2647,"2016-12-20T00:00:00",0,37
3370,"2016-12-20T00:00:00",3,37
3371,"2016-12-20T00:00:00",3,37
3372,"2016-12-20T00:00:00",6,37
3373,"2016-12-20T00:00:00",3,37
401,"2016-12-20T00:00:00",23,38
402,"2016-12-20T00:00:00",17,38
405,"2016-12-20T00:00:00",19,38
412,"2016-12-20T00:00:00",15,38
413,"2016-12-20T00:00:00",20,38
421,"2016-12-20T00:00:00",16,38
432,"2016-12-20T00:00:00",18,38
436,"2016-12-20T00:00:00",19,38
437,"2016-12-20T00:00:00",22,38
444,"2016-12-20T00:00:00",27,38
450,"2016-12-20T00:00:00",15,38
457,"2016-12-20T00:00:00",19,38
458,"2016-12-20T00:00:00",12,38
469,"2016-12-20T00:00:00",19,38
470,"2016-12-20T00:00:00",24,38
474,"2016-12-20T00:00:00",21,38
487,"2016-12-20T00:00:00",20,38
491,"2016-12-20T00:00:00",24,38
493,"2016-12-20T00:00:00",25,38
495,"2016-12-20T00:00:00",24,38
500,"2016-12-20T00:00:00",30,38
503,"2016-12-20T00:00:00",25,38
506,"2016-12-20T00:00:00",24,38
509,"2016-12-20T00:00:00",26,38
516,"2016-12-20T00:00:00",34,38
523,"2016-12-20T00:00:00",34,38
531,"2016-12-20T00:00:00",32,38
532,"2016-12-20T00:00:00",22,38
540,"2016-12-20T00:00:00",31,38
541,"2016-12-20T00:00:00",20,38
2584,"2016-12-20T00:00:00",22,38
2585,"2016-12-20T00:00:00",21,38
2586,"2016-12-20T00:00:00",24,38
2587,"2016-12-20T00:00:00",35,38
2647,"2016-12-20T00:00:00",23,38
3370,"2016-12-20T00:00:00",15,38
3371,"2016-12-20T00:00:00",15,38
3372,"2016-12-20T00:00:00",11,38
3373,"2016-12-20T00:00:00",15,38
401,"2016-12-20T00:00:00",9,39
421,"2016-12-20T00:00:00",4,39
437,"2016-12-20T00:00:00",1,39
444,"2016-12-20T00:00:00",7,39
458,"2016-12-20T00:00:00",1,39
470,"2016-12-20T00:00:00",0,39
474,"2016-12-20T00:00:00",0,39
487,"2016-12-20T00:00:00",0,39
491,"2016-12-20T00:00:00",0,39
493,"2016-12-20T00:00:00",7,39
495,"2016-12-20T00:00:00",6,39
503,"2016-12-20T00:00:00",12,39
506,"2016-12-20T00:00:00",7,39
509,"2016-12-20T00:00:00",0,39
516,"2016-12-20T00:00:00",13,39
523,"2016-12-20T00:00:00",2,39
531,"2016-12-20T00:00:00",16,39
532,"2016-12-20T00:00:00",0,39
540,"2016-12-20T00:00:00",0,39
2584,"2016-12-20T00:00:00",0,39
2585,"2016-12-20T00:00:00",6,39
2586,"2016-12-20T00:00:00",0,39
2587,"2016-12-20T00:00:00",4,39
2647,"2016-12-20T00:00:00",0,39
3370,"2016-12-20T00:00:00",5,40
3371,"2016-12-20T00:00:00",5,40
3372,"2016-12-20T00:00:00",5,40
3373,"2016-12-20T00:00:00",4,40
401,"2016-12-20T00:00:00",24,41
402,"2016-12-20T00:00:00",18,41
405,"2016-12-20T00:00:00",20,41
412,"2016-12-20T00:00:00",14,41
413,"2016-12-20T00:00:00",18,41
421,"2016-12-20T00:00:00",17,41
432,"2016-12-20T00:00:00",19,41
436,"2016-12-20T00:00:00",20,41
437,"2016-12-20T00:00:00",23,41
444,"2016-12-20T00:00:00",28,41
450,"2016-12-20T00:00:00",13,41
457,"2016-12-20T00:00:00",19,41
458,"2016-12-20T00:00:00",12,41
469,"2016-12-20T00:00:00",20,41
470,"2016-12-20T00:00:00",25,41
474,"2016-12-20T00:00:00",22,41
487,"2016-12-20T00:00:00",20,41
491,"2016-12-20T00:00:00",24,41
493,"2016-12-20T00:00:00",26,41
