"Paikka_Id","Aika","Arvo","Lippu_Id"
402,"2000-02-28T00:00:00",0,37
409,"2000-02-28T00:00:00",19,37
421,"2000-02-28T00:00:00",0,37
450,"2000-02-28T00:00:00",15,37
461,"2000-02-28T00:00:00",0,37
469,"2000-02-28T00:00:00",0,37
474,"2000-02-28T00:00:00",7,37
493,"2000-02-28T00:00:00",10,37
500,"2000-02-28T00:00:00",17,37
503,"2000-02-28T00:00:00",22,37
514,"2000-02-28T00:00:00",27,37
527,"2000-02-28T00:00:00",17,37
528,"2000-02-28T00:00:00",27,37
531,"2000-02-28T00:00:00",33,37
540,"2000-02-28T00:00:00",29,37
402,"2000-02-28T00:00:00",36,38
409,"2000-02-28T00:00:00",52,38
421,"2000-02-28T00:00:00",38,38
450,"2000-02-28T00:00:00",46,38
461,"2000-02-28T00:00:00",35,38
469,"2000-02-28T00:00:00",41,38
474,"2000-02-28T00:00:00",34,38
493,"2000-02-28T00:00:00",46,38
500,"2000-02-28T00:00:00",57,38
503,"2000-02-28T00:00:00",44,38
514,"2000-02-28T00:00:00",60,38
527,"2000-02-28T00:00:00",65,38
528,"2000-02-28T00:00:00",76,38
531,"2000-02-28T00:00:00",65,38
540,"2000-02-28T00:00:00",62,38
409,"2000-02-28T00:00:00",16,39
421,"2000-02-28T00:00:00",5,39
450,"2000-02-28T00:00:00",11,39
474,"2000-02-28T00:00:00",14,39
493,"2000-02-28T00:00:00",0,39
500,"2000-02-28T00:00:00",19,39
503,"2000-02-28T00:00:00",14,39
514,"2000-02-28T00:00:00",42,39
527,"2000-02-28T00:00:00",34,39
531,"2000-02-28T00:00:00",20,39
402,"2000-02-28T00:00:00",13,40
409,"2000-02-28T00:00:00",17,40
421,"2000-02-28T00:00:00",6,40
450,"2000-02-28T00:00:00",13,40
461,"2000-02-28T00:00:00",0,40
469,"2000-02-28T00:00:00",10,40
474,"2000-02-28T00:00:00",16,40
493,"2000-02-28T00:00:00",12,40
503,"2000-02-28T00:00:00",26,40
514,"2000-02-28T00:00:00",8,40
528,"2000-02-28T00:00:00",6,40
531,"2000-02-28T00:00:00",20,40
540,"2000-02-28T00:00:00",9,40
401,"2000-02-28T00:00:00",42,41
402,"2000-02-28T00:00:00",38,41
405,"2000-02-28T00:00:00",39,41
409,"2000-02-28T00:00:00",52,41
413,"2000-02-28T00:00:00",52,41
421,"2000-02-28T00:00:00",39,41
430,"2000-02-28T00:00:00",38,41
432,"2000-02-28T00:00:00",42,41
436,"2000-02-28T00:00:00",43,41
438,"2000-02-28T00:00:00",52,41
439,"2000-02-28T00:00:00",39,41
444,"2000-02-28T00:00:00",52,41
449,"2000-02-28T00:00:00",47,41
450,"2000-02-28T00:00:00",47,41
456,"2000-02-28T00:00:00",45,41
457,"2000-02-28T00:00:00",46,41
458,"2000-02-28T00:00:00",47,41
461,"2000-02-28T00:00:00",36,41
469,"2000-02-28T00:00:00",44,41
474,"2000-02-28T00:00:00",33,41
477,"2000-02-28T00:00:00",43,41
479,"2000-02-28T00:00:00",40,41
486,"2000-02-28T00:00:00",42,41
487,"2000-02-28T00:00:00",32,41
491,"2000-02-28T00:00:00",40,41
493,"2000-02-28T00:00:00",48,41
495,"2000-02-28T00:00:00",53,41
500,"2000-02-28T00:00:00",57,41
503,"2000-02-28T00:00:00",44,41
509,"2000-02-28T00:00:00",54,41
514,"2000-02-28T00:00:00",60,41
516,"2000-02-28T00:00:00",66,41
519,"2000-02-28T00:00:00",88,41
522,"2000-02-28T00:00:00",46,41
523,"2000-02-28T00:00:00",57,41
527,"2000-02-28T00:00:00",64,41
528,"2000-02-28T00:00:00",76,41
531,"2000-02-28T00:00:00",62,41
532,"2000-02-28T00:00:00",68,41
