"Paikka_Id","Aika","Arvo","Syvyys"
3245,"2002-02-10T00:00:00","0.10","1.00"
3245,"2002-02-10T00:00:00","0.10","2.00"
3245,"2002-02-10T00:00:00","0.10","3.00"
3245,"2002-02-10T00:00:00","0.20","4.00"
3245,"2002-02-10T00:00:00","0.30","5.00"
3245,"2002-02-10T00:00:00","0.30","6.00"
3245,"2002-02-10T00:00:00","0.30","7.00"
3245,"2002-02-10T00:00:00","0.40","8.00"
3245,"2002-02-10T00:00:00","0.40","9.00"
3245,"2002-02-10T00:00:00","0.40","10.00"
3245,"2002-02-10T00:00:00","0.40","11.00"
3245,"2002-02-10T00:00:00","0.50","12.00"
3245,"2002-02-10T00:00:00","0.50","13.00"
3245,"2002-02-10T00:00:00","0.60","14.00"
3245,"2002-02-10T00:00:00","0.60","15.00"
3245,"2002-02-10T00:00:00","0.60","16.00"
3245,"2002-02-10T00:00:00","0.70","17.00"
3245,"2002-02-10T00:00:00","0.70","18.00"
3245,"2002-02-10T00:00:00","0.70","19.00"
3245,"2002-02-10T00:00:00","0.80","20.00"
3245,"2002-02-10T00:00:00","0.80","22.00"
3245,"2002-02-10T00:00:00","0.90","24.00"
3245,"2002-02-10T00:00:00","1.00","26.00"
3245,"2002-02-10T00:00:00","1.00","28.00"
3245,"2002-02-10T00:00:00","1.10","30.00"
3245,"2002-02-10T00:00:00","1.10","32.00"
3245,"2002-02-10T00:00:00","1.20","34.00"
3245,"2002-02-10T00:00:00","1.20","36.00"
3245,"2002-02-10T00:00:00","1.30","38.00"
3245,"2002-02-10T00:00:00","1.40","40.00"
3245,"2002-02-10T00:00:00","1.50","42.00"
3245,"2002-02-10T00:00:00","1.80","44.00"
3245,"2002-02-10T00:00:00","2.20","46.00"
3246,"2002-02-10T00:00:00","0.20","0.00"
3246,"2002-02-10T00:00:00","0.30","1.00"
3246,"2002-02-10T00:00:00","0.50","2.00"
3246,"2002-02-10T00:00:00","0.60","3.00"
3246,"2002-02-10T00:00:00","0.70","4.00"
3246,"2002-02-10T00:00:00","0.80","5.00"
3246,"2002-02-10T00:00:00","0.90","6.00"
3246,"2002-02-10T00:00:00","1.10","7.00"
3246,"2002-02-10T00:00:00","1.20","8.00"
3246,"2002-02-10T00:00:00","1.40","9.00"
3246,"2002-02-10T00:00:00","1.50","10.00"
3246,"2002-02-10T00:00:00","1.60","11.00"
3246,"2002-02-10T00:00:00","1.70","12.00"
3246,"2002-02-10T00:00:00","1.90","13.00"
3246,"2002-02-10T00:00:00","2.00","14.00"
3246,"2002-02-10T00:00:00","2.10","15.00"
3246,"2002-02-10T00:00:00","2.10","16.00"
3246,"2002-02-10T00:00:00","2.20","17.00"
3246,"2002-02-10T00:00:00","2.20","18.00"
3246,"2002-02-10T00:00:00","2.30","19.00"
3246,"2002-02-10T00:00:00","2.30","20.00"
3246,"2002-02-10T00:00:00","2.30","22.00"
3246,"2002-02-10T00:00:00","2.40","24.00"
3246,"2002-02-10T00:00:00","2.40","26.00"
3246,"2002-02-10T00:00:00","2.40","28.00"
3246,"2002-02-10T00:00:00","2.40","30.00"
3246,"2002-02-10T00:00:00","2.50","32.00"
3246,"2002-02-10T00:00:00","2.50","34.00"
3246,"2002-02-10T00:00:00","2.60","36.00"
3246,"2002-02-10T00:00:00","2.70","38.00"
3246,"2002-02-10T00:00:00","2.90","40.00"
3246,"2002-02-10T00:00:00","3.40","42.00"
3247,"2002-02-10T00:00:00","0.70","0.00"
3247,"2002-02-10T00:00:00","0.70","1.00"
3247,"2002-02-10T00:00:00","0.80","2.00"
3247,"2002-02-10T00:00:00","0.80","3.00"
3247,"2002-02-10T00:00:00","0.80","4.00"
3247,"2002-02-10T00:00:00","0.80","5.00"
3247,"2002-02-10T00:00:00","0.80","6.00"
3247,"2002-02-10T00:00:00","0.80","7.00"
3247,"2002-02-10T00:00:00","0.80","8.00"
3247,"2002-02-10T00:00:00","0.80","9.00"
3247,"2002-02-10T00:00:00","0.80","10.00"
3247,"2002-02-10T00:00:00","0.80","11.00"
3247,"2002-02-10T00:00:00","0.80","12.00"
3247,"2002-02-10T00:00:00","0.80","13.00"
3247,"2002-02-10T00:00:00","0.80","14.00"
3247,"2002-02-10T00:00:00","0.80","15.00"
3247,"2002-02-10T00:00:00","0.80","16.00"
3247,"2002-02-10T00:00:00","0.80","17.00"
3247,"2002-02-10T00:00:00","0.80","18.00"
3247,"2002-02-10T00:00:00","0.80","19.00"
3247,"2002-02-10T00:00:00","0.90","20.00"
3247,"2002-02-10T00:00:00","1.00","22.00"
3247,"2002-02-10T00:00:00","1.10","24.00"
3247,"2002-02-10T00:00:00","1.10","26.00"
3247,"2002-02-10T00:00:00","1.10","28.00"
3247,"2002-02-10T00:00:00","1.20","30.00"
3247,"2002-02-10T00:00:00","1.20","32.00"
3247,"2002-02-10T00:00:00","1.20","34.00"
3247,"2002-02-10T00:00:00","1.30","36.00"
3247,"2002-02-10T00:00:00","1.30","38.00"
3247,"2002-02-10T00:00:00","1.30","40.00"
3247,"2002-02-10T00:00:00","1.40","42.00"
3247,"2002-02-10T00:00:00","1.50","44.00"
3247,"2002-02-10T00:00:00","1.50","46.00"
3247,"2002-02-10T00:00:00","1.50","48.00"
3247,"2002-02-10T00:00:00","1.50","50.00"
3247,"2002-02-10T00:00:00","1.60","55.00"
3247,"2002-02-10T00:00:00","1.60","60.00"
3247,"2002-02-10T00:00:00","1.60","65.00"
3248,"2002-02-10T00:00:00","0.60","0.00"
3248,"2002-02-10T00:00:00","0.60","1.00"
3248,"2002-02-10T00:00:00","0.60","2.00"
3248,"2002-02-10T00:00:00","0.60","3.00"
3248,"2002-02-10T00:00:00","0.60","4.00"
3248,"2002-02-10T00:00:00","0.60","5.00"
3248,"2002-02-10T00:00:00","0.60","6.00"
3248,"2002-02-10T00:00:00","0.70","7.00"
3248,"2002-02-10T00:00:00","0.70","8.00"
3248,"2002-02-10T00:00:00","0.70","9.00"
3248,"2002-02-10T00:00:00","0.80","10.00"
3248,"2002-02-10T00:00:00","0.90","11.00"
3248,"2002-02-10T00:00:00","0.90","12.00"
3248,"2002-02-10T00:00:00","1.00","13.00"
3248,"2002-02-10T00:00:00","1.00","14.00"
3248,"2002-02-10T00:00:00","1.00","15.00"
3248,"2002-02-10T00:00:00","1.20","16.00"
3248,"2002-02-10T00:00:00","1.30","17.00"
3248,"2002-02-10T00:00:00","1.40","18.00"
3248,"2002-02-10T00:00:00","1.40","19.00"
3248,"2002-02-10T00:00:00","1.50","20.00"
3248,"2002-02-10T00:00:00","1.50","22.00"
3248,"2002-02-10T00:00:00","1.60","24.00"
3248,"2002-02-10T00:00:00","1.60","26.00"
3248,"2002-02-10T00:00:00","1.70","28.00"
3248,"2002-02-10T00:00:00","1.70","30.00"
3248,"2002-02-10T00:00:00","1.70","32.00"
3248,"2002-02-10T00:00:00","1.80","34.00"
3248,"2002-02-10T00:00:00","1.80","36.00"
3248,"2002-02-10T00:00:00","1.90","38.00"
3249,"2002-02-10T00:00:00","0.00","0.00"
3249,"2002-02-10T00:00:00","0.10","1.00"
3249,"2002-02-10T00:00:00","0.20","2.00"
3249,"2002-02-10T00:00:00","0.30","3.00"
3249,"2002-02-10T00:00:00","0.40","4.00"
3249,"2002-02-10T00:00:00","0.50","5.00"
3249,"2002-02-10T00:00:00","0.70","6.00"
3249,"2002-02-10T00:00:00","0.90","7.00"
3249,"2002-02-10T00:00:00","1.10","8.00"
3249,"2002-02-10T00:00:00","1.20","9.00"
3249,"2002-02-10T00:00:00","1.30","10.00"
3249,"2002-02-10T00:00:00","1.60","11.00"
3249,"2002-02-10T00:00:00","1.60","12.00"
3249,"2002-02-10T00:00:00","1.90","13.00"
3249,"2002-02-10T00:00:00","1.90","14.00"
3249,"2002-02-10T00:00:00","2.00","15.00"
3249,"2002-02-10T00:00:00","2.00","16.00"
3249,"2002-02-10T00:00:00","2.00","17.00"
3249,"2002-02-10T00:00:00","2.00","18.00"
3249,"2002-02-10T00:00:00","2.00","19.00"
3249,"2002-02-10T00:00:00","2.00","20.00"
3249,"2002-02-10T00:00:00","2.10","22.00"
3249,"2002-02-10T00:00:00","2.10","24.00"
3249,"2002-02-10T00:00:00","2.10","26.00"
3249,"2002-02-10T00:00:00","2.10","28.00"
3249,"2002-02-10T00:00:00","2.10","30.00"
3249,"2002-02-10T00:00:00","2.10","32.00"
3249,"2002-02-10T00:00:00","2.10","34.00"
3249,"2002-02-10T00:00:00","2.20","36.00"
3249,"2002-02-10T00:00:00","2.20","38.00"
3249,"2002-02-10T00:00:00","2.20","40.00"
3249,"2002-02-10T00:00:00","2.20","42.00"
3249,"2002-02-10T00:00:00","2.30","44.00"
3249,"2002-02-10T00:00:00","2.40","46.00"
3249,"2002-02-10T00:00:00","2.50","48.00"
3249,"2002-02-10T00:00:00","2.80","50.00"
3251,"2002-02-10T00:00:00","2.10","0.00"
3251,"2002-02-10T00:00:00","1.80","1.00"
3251,"2002-02-10T00:00:00","1.90","2.00"
3251,"2002-02-10T00:00:00","2.10","3.00"
3251,"2002-02-10T00:00:00","2.70","4.00"
3251,"2002-02-10T00:00:00","3.20","5.00"
3251,"2002-02-10T00:00:00","3.80","6.00"
3251,"2002-02-10T00:00:00","3.80","7.00"
3251,"2002-02-10T00:00:00","4.10","8.00"
3251,"2002-02-10T00:00:00","4.30","9.00"
3251,"2002-02-10T00:00:00","4.30","10.00"
3251,"2002-02-10T00:00:00","4.60","11.00"
3251,"2002-02-10T00:00:00","4.80","12.00"
3251,"2002-02-10T00:00:00","4.90","13.00"
3251,"2002-02-10T00:00:00","4.90","14.00"
3251,"2002-02-10T00:00:00","4.90","15.00"
